date,ShortRate,ShortRate_Change,PolicyRate,PolicyRate_Change,RealGDP,RealGDP_Log,RealGDP_Log_Change,GDP Deflator_logged,GDP Deflators CPI Proxy,CPI,CPI Log Growth Rate
1983Q1,10.665999999999999,1.3731333333333318,10.853333333333333,0.9766666666666666,297563.0,12.603381246254724,0.019447673043044844,3.694113078353147,0.01722978214419868,0.51224259809445,-0.3579572999033349
1983Q2,9.542499999999999,-1.1235,9.893333333333333,-0.9600000000000009,299623.0,12.610280296703978,0.006899050449254318,3.6937254701128466,-0.0003876082403002634,2.03852818265214,1.3811850101314869
1983Q3,9.235166666666666,-0.30733333333333235,9.56,-0.33333333333333215,303085.0,12.621768573203674,0.01148827649969597,3.7091093073739763,0.015383837261129685,1.2885825591848798,-0.4586852454424778
1983Q4,8.844066666666667,-0.3910999999999998,9.06,-0.5,305361.0,12.629249962236909,0.007481389033234365,3.7246165301449143,0.015507222770938078,1.1242603550295802,-0.13641746569285906
1984Q1,8.696399999999999,-0.14766666666666772,8.893333333333333,-0.16666666666666785,307964.0,12.637738172007465,0.00848820977055631,3.7268857305039194,0.002269200359005019,0.6143943826799471,-0.6042435972014014
1984Q2,8.717066666666666,0.020666666666667055,8.833333333333334,-0.05999999999999872,304892.0,12.627712894521265,-0.010025277486199968,3.756094803014211,0.02920907251029181,2.0257826887661,1.1930743788165132
1984Q3,10.423033333333334,1.7059666666666686,11.0,2.166666666666666,307122.0,12.635000341766006,0.007287447244740619,3.7639718765313233,0.007877073517112088,0.8740262207866271,-0.8406010417291081
1984Q4,9.351833333333333,-1.071200000000001,9.833333333333334,-1.166666666666666,312697.0,12.652989949539982,0.017989607773976957,3.7781889185490343,0.014217042017711012,1.24317197212281,0.3523110583074338
1985Q1,12.5252,3.1733666666666664,13.546666666666667,3.713333333333333,315753.0,12.66271554135525,0.00972559181526833,3.783325695427054,0.005136776878019944,1.25338637290901,0.008182831217812964
1985Q2,11.890433333333334,-0.6347666666666658,12.38,-1.166666666666666,322451.0,12.683706465689724,0.02099092433447325,3.799627999497583,0.016302304070528795,3.4432765494744504,1.010574516722689
1985Q3,10.997966666666665,-0.8924666666666692,11.38,-1.0,322392.0,12.68352347541096,-0.00018299027876444995,3.8186476378978194,0.01901963840023635,0.245269796776458,-2.641819966364708
1985Q4,11.106266666666665,0.10829999999999984,11.38,0.0,322604.0,12.68418084385242,0.0006573684414608039,3.833868775247931,0.015221137350111658,0.489339391821036,0.6906974855465893
1986Q1,11.563066666666666,0.4568000000000012,12.046666666666667,0.6666666666666661,325968.0,12.694554496021683,0.010373652169262115,3.841165260298535,0.007296485050603874,0.695652173913041,0.3517934837573998
1986Q2,9.496633333333333,-2.0664333333333325,10.046666666666667,-2.0,328872.0,12.703423896294147,0.008869400272464745,3.844452672667154,0.0032874123686190693,1.3126079447323,0.6349214493967558
1986Q3,9.5085,0.011866666666666248,9.88,-0.16666666666666607,330966.0,12.709770930050006,0.006347033755858433,3.855404861354805,0.01095218868765091,0.102284350494376,-2.552014550028618
1986Q4,10.6323,1.123800000000001,10.88,1.0,337367.0,12.728926637553055,0.019155707503049513,3.8696111641322655,0.0142063027774606,1.29427792915531,2.5379515503013024
1987Q1,10.024799999999999,-0.6075000000000017,10.546666666666667,-0.3333333333333339,339754.0,12.735977105306851,0.007050467753796141,3.882786644298722,0.01317548016645631,1.21049092131808,-0.06692695855597575
1987Q2,8.651733333333333,-1.3730666666666664,9.046666666666667,-1.5,344795.0,12.750705316506439,0.014728211199587449,3.8980913590182635,0.015304714719541757,1.5282392026578302,0.23309022731018741
1987Q3,9.525599999999999,0.8738666666666663,9.546666666666667,0.5,353365.0,12.775256796045781,0.024551479539342225,3.9170063042094965,0.018914945191232935,0.229057591623016,-1.8978980399773766
1987Q4,8.522166666666665,-1.0034333333333336,8.88,-0.6666666666666661,357439.0,12.786719997186722,0.011463201140941237,3.9266657882539167,0.009659484044420186,1.077375122429,1.548309455864901
1988Q1,8.372766666666667,-0.1493999999999982,8.546666666666667,-0.3333333333333339,363267.0,12.802893380062164,0.01617338287544179,3.9369492795659573,0.010283491312040649,0.3103254491661189,-1.2446613367974546
1988Q2,8.228066666666667,-0.14470000000000027,8.046666666666667,-0.5,365209.0,12.808225071429959,0.005331691367794988,3.9565808664367066,0.019631586870749285,2.1276595744680904,1.9251562804536855
1988Q3,11.047033333333333,2.8189666666666664,11.38,3.333333333333334,369774.0,12.820647287188676,0.012422215758716604,3.974227378759355,0.017646512322648356,1.04166666666667,-0.7142005897577769
1988Q4,12.195566666666666,1.148533333333333,12.546666666666667,1.166666666666666,372752.0,12.828668598139084,0.008021310950407923,3.9954064184926956,0.021179039733340677,1.4432989690721798,0.32610944958567334
1989Q1,12.404133333333334,0.2085666666666679,12.88,0.3333333333333339,374612.0,12.833646102648823,0.004977504509739106,4.015461216556922,0.020054798064226276,1.21951219512194,-0.16848050538210263
1989Q2,13.040933333333333,0.6367999999999991,13.46,0.5800000000000001,376951.0,12.839870484508063,0.00622438185924068,4.026850470499899,0.011389253942977184,2.00803212851406,0.4987042632336568
1989Q3,13.366399999999999,0.32546666666666546,13.780000000000001,0.3200000000000003,377573.0,12.841519206459644,0.0016487219515806117,4.052000184133285,0.02514971363338603,0.78740157480315,-0.9361721024279853
1989Q4,14.497566666666666,1.131166666666667,14.88,1.0999999999999996,377508.0,12.841347039499649,-0.00017216695999522358,4.077597186666724,0.025597002533438662,1.7578125,0.8030870387553024
